OBJECTID,NUMERO,NOM_LIEU,ADRESSE,ARRONDISSEMENT,HORAIRES,ANNEE,geo_shape,geo_point_2d
60,74,Square Pierre-Adrien-Dalpayrat,21 rue du Cotentin,75015,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.313649458976774, 48.83835870459549]}",48.8383587046, 2.31364945898
73,97,Square Alfred-Capus,116 bis boulevard Suchet,75016,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.259822864377294, 48.850886862928675]}",48.8508868629, 2.25982286438
74,101,Square Claude-Debussy,49 avenue du Marechal-Fayolle,75016,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.270893590845229, 48.86696537141059]}",48.8669653714, 2.27089359085
75,93,Square de la Porte-de-Saint-Cloud,2 avenue Edouard-Vaillant,75016,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.253913834246814, 48.837085085981776]}",48.837085086, 2.25391383425
78,111,Parc Clichy-Batignolles - Martin-Luther-King - parc a sapins 2,34 rue Gilbert-Cesbron,75017,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.313250145889071, 48.892815611998174]}",48.892815612, 2.31325014589
80,112,Square des Epinettes - Parc a sapins 1,8 rue Jean-Leclaire,75017,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.326522036801996, 48.894819013796]}",48.8948190138, 2.3265220368
83,155,Square Sainte-Odile,9 boulevard de la Somme,75017,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.29219906107267, 48.887681887320646]}",48.8876818873, 2.29219906107
84,115,Jardin Rene-Binet,54 rue Rene-Binet,75018,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.338212750503929, 48.89954546212944]}",48.8995454621, 2.3382127505
87,156,Square Saint-Bernard - Saïd-Bouziri,16 rue Affre,75018,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.356006341825045, 48.88614354646284]}",48.8861435465, 2.35600634183
88,114,Square Carpeaux,23 rue Carpeaux,75018,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.332043655930372, 48.89148650805735]}",48.8914865081, 2.33204365593
89,123,Jardin Rachmaninov,20 rue Tristan-Tzara,75018,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.364234700025909, 48.895298999309745]}",48.8952989993, 2.36423470003
94,124,Square Maurice-Kriegel-Valrimont,1 square de Clignancourt,75018,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.346393878629196, 48.89277449043337]}",48.8927744904, 2.34639387863
98,136,Jardin Serge-Gainsbourg,9 avenue de la Porte-des-Lilas,75019,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.408673187060237, 48.87825134986501]}",48.8782513499, 2.40867318706
99,133,Parc de la Butte-du-Chapeau-Rouge,5 avenue Debidour,75019,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.397636479040491, 48.88183368104711]}",48.881833681, 2.39763647904
109,135,Square Monseigneur-Maillet,Place des Fetes,75019,de 9h30 a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.393360202066212, 48.87707376659139]}",48.8770737666, 2.39336020207
119,145,Square Edouard-Vaillant,50 avenue Gambetta,75020,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.399991520486589, 48.8657559063321]}",48.8657559063, 2.39999152049
120,144,Square Emmanuel-Fleury,40 rue Le Vau,75020,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.411165836420754, 48.870024155742826]}",48.8700241557, 2.41116583642
121,139,Square Leon-Frapie,7 rue de Noisy-le-Sec,75020,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.412307850400662, 48.87268932605614]}",48.8726893261, 2.4123078504
125,3,Square Emile-Chautemps,98 bis boulevard de Sebastopol,75003,de 8h a 17h30 en semaine et de 9h a 17h30 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.353768122575185, 48.86719663152326]}",48.8671966315, 2.35376812258
132,13,Square Capitan - Arenes de Lutece,4 rue des Arenes,75005,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.353950357831325, 48.84525240750914]}",48.8452524075, 2.35395035783
133,12,Square Paul-Langevin,20 rue Monge,75005,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.350159551410682, 48.84794610001756]}",48.8479461, 2.35015955141
148,27,Jardins des Champs-Elysees,5 avenue des Champs-Elysees,75008,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.312833619948503, 48.86802259393315]}",48.8680225939, 2.31283361995
149,28,Parc Monceau - Parc a sapins 1,Avenue Velasquez,75008,de 7h a 20h,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.311391178645485, 48.87966410392588]}",48.8796641039, 2.31139117865
151,30,Square Louis-XVI,29 rue Pasquier,75008,de 8h a 17h30 en semaine et de 9h a 17h30 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.3234487858605632, 48.873944088931786]}",48.8739440889, 2.32344878586
8,40,Square Maurice-Gardette,2 rue du General-Blaise,75011,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.379207933740391, 48.86130543409707]}",48.8613054341, 2.37920793374
17,157,Square de la Place-de-la-Nation,11 place de la Nation,75011,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.396159959540758, 48.84876230707165]}",48.8487623071, 2.39615995954
22,60,Jardin Clara-Zetkin,21 avenue Boutroux,75013,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.375930005587854, 48.82158781735638]}",48.8215878174, 2.37593000559
23,56,Jardin Samuel-Beckett,47 rue Gandon,75013,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.361991983462382, 48.81961327228936]}",48.8196132723, 2.36199198346
